card,date,amount
3572911731557252,03/30/2016,68.59
30231431875033,03/23/2016,138.92
6393922837601621,03/30/2016,93.53
30231431875033,03/28/2016,135.06
6393922837601621,03/24/2016,92.63
3572911731557252,03/29/2016,69.82
30231431875033,03/27/2016,96.28
3572911731557252,03/18/2016,104.36
6393922837601621,03/04/2016,148.63
3572911731557252,03/15/2016,70.51
30231431875033,03/11/2016,130.84
6393922837601621,03/21/2016,127.99
3572911731557252,03/06/2016,130.20
30231431875033,03/06/2016,84.12
30231431875033,03/11/2016,50.87
3572911731557252,03/01/2016,147.44
6393922837601621,03/10/2016,122.41
3572911731557252,03/03/2016,65.24
30231431875033,03/14/2016,68.87
6393922837601621,03/24/2016,61.00
